time_s,phase,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
13.908,left,0.5000,0.2109,0.4000,-0.0013,-0.0000,0.0103,0.5013,0.2109,0.3897,0.5439,0.6691,0.990,0.367,0.829,3.700
14.015,left,0.5000,0.2215,0.4000,-0.0013,0.0000,0.0098,0.5013,0.2215,0.3902,0.5481,0.6728,0.988,0.374,0.835,3.706
14.109,left,0.5000,0.2309,0.4000,-0.0013,0.0001,0.0103,0.5013,0.2308,0.3897,0.5519,0.6756,0.980,0.376,0.838,3.700
14.228,left,0.5000,0.2428,0.4000,-0.0013,0.0004,0.0094,0.5013,0.2425,0.3906,0.5569,0.6802,0.984,0.377,0.840,3.700
14.309,left,0.5000,0.2510,0.4000,-0.0014,0.0000,0.0096,0.5014,0.2510,0.3904,0.5607,0.6832,0.975,0.373,0.845,3.700
14.416,left,0.5000,0.2616,0.4000,-0.0014,0.0000,0.0094,0.5014,0.2616,0.3906,0.5655,0.6873,0.992,0.378,0.852,3.700
14.510,left,0.5000,0.2710,0.4000,-0.0010,0.0001,0.0109,0.5010,0.2709,0.3891,0.5695,0.6897,0.999,0.381,0.856,3.700
14.627,left,0.5000,0.2827,0.4000,-0.0015,0.0000,0.0113,0.5015,0.2827,0.3887,0.5757,0.6946,0.986,0.362,0.861,3.700
14.710,left,0.5000,0.2910,0.4000,-0.0015,0.0000,0.0107,0.5015,0.2910,0.3893,0.5798,0.6983,0.988,0.383,0.862,3.700
14.826,left,0.5000,0.3026,0.4000,-0.0009,0.0008,0.0100,0.5009,0.3018,0.3900,0.5848,0.7029,0.987,0.383,0.862,3.700
14.909,left,0.5000,0.3109,0.4000,-0.0010,-0.0000,0.0108,0.5010,0.3109,0.3892,0.5896,0.7065,0.965,0.364,0.866,3.700
15.026,left,0.5000,0.3226,0.4000,-0.0010,0.0004,0.0094,0.5010,0.3222,0.3906,0.5956,0.7123,0.992,0.360,0.865,3.706
15.109,left,0.5000,0.3309,0.4000,-0.0014,-0.0000,0.0098,0.5014,0.3309,0.3902,0.6008,0.7164,0.980,0.366,0.870,3.700
15.222,left,0.5000,0.3422,0.4000,-0.0015,-0.0000,0.0103,0.5015,0.3422,0.3897,0.6071,0.7215,0.990,0.374,0.875,3.700
15.316,left,0.5000,0.3516,0.4000,-0.0010,0.0000,0.0104,0.5010,0.3516,0.3896,0.6121,0.7255,0.993,0.380,0.876,3.700
15.425,left,0.5000,0.3625,0.4000,-0.0011,0.0005,0.0107,0.5011,0.3620,0.3893,0.6181,0.7305,0.988,0.371,0.877,3.700
15.519,left,0.5000,0.3719,0.4000,-0.0011,-0.0001,0.0115,0.5011,0.3720,0.3885,0.6241,0.7351,0.971,0.366,0.878,3.700
15.634,left,0.5000,0.3834,0.4000,-0.0011,-0.0001,0.0102,0.5011,0.3834,0.3898,0.6310,0.7417,0.985,0.364,0.879,3.700
15.711,left,0.5000,0.3911,0.4000,-0.0016,-0.0000,0.0102,0.5016,0.3912,0.3898,0.6361,0.7460,0.989,0.365,0.884,3.700
15.808,left,0.5000,0.4009,0.4000,-0.0016,0.0004,0.0103,0.5016,0.4004,0.3897,0.6418,0.7509,0.985,0.378,0.886,3.700
15.918,left,0.5000,0.4118,0.4000,-0.0011,0.0004,0.0108,0.5011,0.4114,0.3892,0.6483,0.7562,0.982,0.380,0.888,3.700
16.008,left,0.5000,0.4208,0.4000,-0.0016,-0.0001,0.0110,0.5016,0.4209,0.3890,0.6548,0.7616,0.984,0.360,0.892,3.700
16.117,left,0.5000,0.4317,0.4000,-0.0011,-0.0000,0.0117,0.5011,0.4317,0.3883,0.6614,0.7670,0.998,0.372,0.893,3.700
16.214,left,0.5000,0.4414,0.4000,-0.0015,-0.0000,0.0111,0.5015,0.4415,0.3889,0.6682,0.7731,0.995,0.365,0.897,3.700
16.325,left,0.5000,0.4525,0.4000,-0.0016,0.0007,0.0104,0.5016,0.4518,0.3896,0.6750,0.7794,0.992,0.372,0.897,3.700
16.412,left,0.5000,0.4612,0.4000,-0.0015,0.0002,0.0099,0.5015,0.4610,0.3901,0.6812,0.7850,0.975,0.380,0.898,3.700
16.508,left,0.5000,0.4708,0.4000,-0.0015,0.0002,0.0103,0.5015,0.4706,0.3897,0.6877,0.7905,0.994,0.378,0.900,3.700
16.616,left,0.5000,0.4816,0.4000,-0.0015,0.0000,0.0101,0.5015,0.4815,0.3899,0.6953,0.7971,1.001,0.371,0.904,3.700
16.708,left,0.5000,0.4908,0.4000,-0.0010,0.0001,0.0101,0.5010,0.4907,0.3899,0.7012,0.8024,1.004,0.369,0.906,3.700
16.820,left,0.5000,0.5000,0.4000,-0.0009,0.0002,0.0105,0.5009,0.4998,0.3895,0.7076,0.8077,0.997,0.359,0.912,3.700
16.908,left,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0118,0.5015,0.4994,0.3882,0.7077,0.8072,0.995,0.357,0.915,3.700
17.025,left,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0108,0.5016,0.4998,0.3892,0.7081,0.8080,0.984,0.377,0.917,3.700
17.119,left,0.5000,0.5000,0.4000,-0.0016,0.0011,0.0104,0.5016,0.4989,0.3896,0.7075,0.8077,0.995,0.376,0.918,3.700
17.221,left hover,0.5000,0.5000,0.4000,-0.0007,0.0002,0.0113,0.5007,0.4998,0.3887,0.7074,0.8072,0.972,0.388,0.925,3.700
17.321,left hover,0.5000,0.5000,0.4000,-0.0016,0.0001,0.0092,0.5016,0.4999,0.3908,0.7081,0.8088,0.988,0.357,0.928,3.700
17.441,left hover,0.5000,0.5000,0.4000,-0.0015,0.0000,0.0099,0.5015,0.5000,0.3901,0.7082,0.8085,0.993,0.367,0.931,3.700
17.522,left hover,0.5000,0.5000,0.4000,-0.0009,0.0007,0.0105,0.5009,0.4993,0.3895,0.7073,0.8074,1.002,0.367,0.933,3.700
17.607,left hover,0.5000,0.5000,0.4000,-0.0015,0.0001,0.0106,0.5015,0.4999,0.3894,0.7081,0.8081,0.982,0.364,0.928,3.700
17.719,left hover,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0112,0.5015,0.4994,0.3888,0.7077,0.8075,0.994,0.378,0.933,3.700
17.808,left hover,0.5000,0.5000,0.4000,-0.0009,0.0007,0.0104,0.5009,0.4993,0.3896,0.7073,0.8075,0.974,0.381,0.932,3.700
17.923,left hover,0.5000,0.5000,0.4000,-0.0009,0.0007,0.0105,0.5009,0.4993,0.3895,0.7073,0.8074,0.976,0.371,0.936,3.700
18.009,left hover,0.5000,0.5000,0.4000,-0.0015,0.0001,0.0099,0.5015,0.4999,0.3901,0.7081,0.8084,0.975,0.370,0.938,3.700
18.125,left hover,0.5000,0.5000,0.4000,-0.0015,0.0001,0.0098,0.5015,0.4999,0.3902,0.7081,0.8085,0.984,0.384,0.939,3.700
18.218,left hover,0.5000,0.5000,0.4000,-0.0015,0.0000,0.0097,0.5015,0.5000,0.3903,0.7082,0.8086,0.982,0.383,0.939,3.700
18.341,left hover,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0091,0.5015,0.4994,0.3909,0.7078,0.8085,0.977,0.386,0.939,3.700
18.417,left hover,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0099,0.5015,0.4994,0.3901,0.7077,0.8082,0.964,0.388,0.942,3.700
18.510,left hover,0.5000,0.5000,0.4000,-0.0015,0.0001,0.0109,0.5015,0.4999,0.3891,0.7081,0.8079,0.970,0.390,0.944,3.700
18.608,left hover,0.5000,0.5000,0.4000,-0.0015,0.0002,0.0101,0.5015,0.4998,0.3899,0.7080,0.8083,0.985,0.394,0.946,3.700
18.707,left hover,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0108,0.5015,0.4994,0.3892,0.7078,0.8077,0.982,0.397,0.942,3.700
18.807,left hover,0.5000,0.5000,0.4000,-0.0014,0.0004,0.0104,0.5014,0.4996,0.3896,0.7078,0.8079,0.972,0.397,0.945,3.700
18.908,left hover,0.5000,0.5000,0.4000,-0.0016,0.0007,0.0106,0.5016,0.4993,0.3894,0.7077,0.8078,0.984,0.401,0.942,3.700
19.007,left hover,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0111,0.5016,0.4998,0.3889,0.7081,0.8078,0.980,0.393,0.942,3.700
19.108,left hover,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0106,0.5016,0.4998,0.3894,0.7081,0.8081,1.003,0.400,0.940,3.700
19.207,left hover,0.5000,0.5000,0.4000,-0.0012,0.0002,0.0103,0.5012,0.4998,0.3897,0.7078,0.8080,0.996,0.392,0.939,3.700
19.307,left hover,0.5000,0.5000,0.4000,-0.0016,0.0007,0.0104,0.5016,0.4993,0.3896,0.7078,0.8079,0.990,0.376,0.944,3.700
19.408,left hover,0.5000,0.5000,0.4000,-0.0016,0.0008,0.0096,0.5016,0.4992,0.3904,0.7077,0.8082,0.979,0.395,0.945,3.700
19.508,left hover,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0099,0.5016,0.4998,0.3901,0.7081,0.8084,0.976,0.394,0.948,3.700
19.608,left hover,0.5000,0.5000,0.4000,-0.0017,0.0005,0.0098,0.5017,0.4995,0.3902,0.7079,0.8084,0.993,0.393,0.949,3.700
19.707,left hover,0.5000,0.5000,0.4000,-0.0017,0.0002,0.0111,0.5017,0.4998,0.3889,0.7082,0.8080,0.984,0.400,0.949,3.700
19.807,left hover,0.5000,0.5000,0.4000,-0.0017,0.0002,0.0111,0.5017,0.4998,0.3889,0.7082,0.8080,0.995,0.405,0.950,3.700
19.908,left hover,0.5000,0.5000,0.4000,-0.0018,0.0003,0.0118,0.5018,0.4997,0.3882,0.7082,0.8077,0.996,0.399,0.948,3.700
20.007,left hover,0.5000,0.5000,0.4000,-0.0019,0.0004,0.0108,0.5019,0.4996,0.3892,0.7082,0.8081,0.993,0.392,0.947,3.700
20.107,left hover,0.5000,0.5000,0.4000,-0.0021,0.0008,0.0103,0.5021,0.4992,0.3897,0.7081,0.8082,0.989,0.374,0.949,3.700
20.208,left hover,0.5000,0.5000,0.4000,-0.0022,0.0004,0.0110,0.5022,0.4996,0.3890,0.7083,0.8081,0.984,0.364,0.947,3.700
20.308,left hover,0.5000,0.5000,0.4000,-0.0021,0.0003,0.0111,0.5021,0.4997,0.3889,0.7084,0.8082,1.002,0.365,0.952,3.700
20.408,left hover,0.5000,0.5000,0.4000,-0.0021,0.0011,0.0102,0.5021,0.4989,0.3898,0.7079,0.8081,1.013,0.360,0.954,3.700
20.506,left hover,0.5000,0.5000,0.4000,-0.0021,0.0004,0.0097,0.5021,0.4996,0.3903,0.7083,0.8087,1.001,0.364,0.955,3.700
20.607,left hover,0.5000,0.5000,0.4000,-0.0021,0.0003,0.0097,0.5021,0.4997,0.3903,0.7084,0.8088,1.024,0.366,0.955,3.700
20.706,left hover,0.5000,0.5000,0.4000,-0.0021,0.0002,0.0115,0.5021,0.4998,0.3885,0.7084,0.8080,1.028,0.367,0.958,3.700
20.807,left hover,0.5000,0.5000,0.4000,-0.0022,0.0011,0.0100,0.5022,0.4989,0.3900,0.7079,0.8082,1.025,0.367,0.957,3.700
20.907,left hover,0.5000,0.5000,0.4000,-0.0016,0.0003,0.0097,0.5016,0.4997,0.3903,0.7081,0.8085,0.997,0.369,0.960,3.700
21.007,left hover,0.5000,0.5000,0.4000,-0.0022,0.0002,0.0098,0.5022,0.4998,0.3902,0.7085,0.8089,1.017,0.363,0.960,3.700
21.107,left hover,0.5000,0.5000,0.4000,-0.0023,0.0009,0.0113,0.5023,0.4991,0.3887,0.7081,0.8078,1.009,0.374,0.958,3.700
21.206,left hover,0.5000,0.5000,0.4000,-0.0023,0.0009,0.0100,0.5023,0.4991,0.3900,0.7081,0.8084,0.988,0.383,0.957,3.700
21.307,left hover,0.5000,0.5000,0.4000,-0.0023,0.0003,0.0100,0.5023,0.4997,0.3900,0.7085,0.8088,0.997,0.394,0.956,3.700
21.407,left hover,0.5000,0.5000,0.4000,-0.0018,0.0000,0.0109,0.5018,0.5000,0.3891,0.7083,0.8082,1.015,0.387,0.959,3.700
21.507,left hover,0.5000,0.5000,0.4000,-0.0018,0.0005,0.0106,0.5018,0.4995,0.3894,0.7081,0.8081,1.019,0.375,0.962,3.700
21.607,left hover,0.5000,0.5000,0.4000,-0.0019,0.0004,0.0112,0.5019,0.4996,0.3888,0.7082,0.8079,1.005,0.384,0.964,3.700
21.706,left hover,0.5000,0.5000,0.4000,-0.0023,0.0005,0.0108,0.5023,0.4995,0.3892,0.7084,0.8083,1.003,0.384,0.963,3.700
21.806,left hover,0.5000,0.5000,0.4000,-0.0018,0.0000,0.0106,0.5018,0.5000,0.3894,0.7084,0.8084,0.993,0.393,0.967,3.700
21.907,left hover,0.5000,0.5000,0.4000,-0.0022,0.0000,0.0110,0.5022,0.5000,0.3890,0.7087,0.8084,1.010,0.373,0.968,3.700
22.007,left hover,0.5000,0.5000,0.4000,-0.0022,0.0004,0.0109,0.5022,0.4996,0.3891,0.7084,0.8082,1.006,0.381,0.962,3.700
22.107,left hover,0.5000,0.5000,0.4000,-0.0022,0.0001,0.0104,0.5022,0.4999,0.3896,0.7086,0.8086,0.991,0.379,0.967,3.700
22.207,left hover,0.5000,0.5000,0.4000,-0.0022,0.0002,0.0110,0.5022,0.4998,0.3890,0.7085,0.8083,0.997,0.377,0.969,3.700
22.306,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0093,0.5022,0.4997,0.3907,0.7085,0.8090,0.992,0.375,0.968,3.700
22.406,left hover,0.5000,0.5000,0.4000,-0.0022,0.0002,0.0109,0.5022,0.4998,0.3891,0.7085,0.8083,0.992,0.385,0.970,3.700
22.506,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0110,0.5022,0.4997,0.3890,0.7085,0.8083,0.992,0.385,0.970,3.700
22.607,left hover,0.5000,0.5000,0.4000,-0.0022,0.0002,0.0102,0.5022,0.4998,0.3898,0.7085,0.8087,0.994,0.380,0.971,3.700
22.708,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0114,0.5022,0.4997,0.3886,0.7085,0.8080,1.001,0.381,0.971,3.700
22.806,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0105,0.5022,0.4997,0.3895,0.7084,0.8084,0.991,0.385,0.968,3.700
22.906,left hover,0.5000,0.5000,0.4000,-0.0022,0.0008,0.0102,0.5022,0.4992,0.3898,0.7081,0.8083,0.983,0.380,0.967,3.700
23.007,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0119,0.5022,0.4997,0.3881,0.7085,0.8078,0.977,0.389,0.968,3.700
23.106,left hover,0.5000,0.5000,0.4000,-0.0022,0.0007,0.0108,0.5022,0.4993,0.3892,0.7081,0.8080,0.993,0.389,0.968,3.700
23.206,left hover,0.5000,0.5000,0.4000,-0.0021,0.0004,0.0092,0.5021,0.4996,0.3908,0.7083,0.8090,0.984,0.388,0.970,3.700
23.306,left hover,0.5000,0.5000,0.4000,-0.0014,0.0004,0.0104,0.5014,0.4996,0.3896,0.7078,0.8079,0.989,0.390,0.971,3.700
23.407,left hover,0.5000,0.5000,0.4000,-0.0020,0.0003,0.0098,0.5020,0.4997,0.3902,0.7083,0.8087,0.981,0.377,0.974,3.700
23.507,left hover,0.5000,0.5000,0.4000,-0.0021,0.0009,0.0111,0.5021,0.4991,0.3889,0.7080,0.8078,0.982,0.388,0.971,3.700
23.609,left hover,0.5000,0.5000,0.4000,-0.0022,0.0003,0.0112,0.5022,0.4997,0.3888,0.7085,0.8081,0.963,0.386,0.973,3.700
23.706,left hover,0.5000,0.5000,0.4000,-0.0022,0.0002,0.0112,0.5022,0.4998,0.3888,0.7085,0.8082,0.982,0.388,0.972,3.700
23.806,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0111,0.5021,0.4999,0.3889,0.7086,0.8083,0.986,0.396,0.976,3.700
23.906,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0100,0.5021,0.4999,0.3900,0.7085,0.8087,0.983,0.381,0.976,3.700
24.006,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0112,0.5021,0.4999,0.3888,0.7085,0.8082,0.981,0.378,0.978,3.700
24.107,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0116,0.5021,0.4999,0.3884,0.7085,0.8080,0.987,0.373,0.975,3.700
24.206,left hover,0.5000,0.5000,0.4000,-0.0021,0.0007,0.0112,0.5021,0.4993,0.3888,0.7081,0.8078,0.978,0.379,0.981,3.700
24.306,left hover,0.5000,0.5000,0.4000,-0.0021,0.0009,0.0109,0.5021,0.4991,0.3891,0.7080,0.8079,0.965,0.383,0.985,3.700
24.406,left hover,0.5000,0.5000,0.4000,-0.0015,0.0001,0.0104,0.5015,0.4999,0.3896,0.7081,0.8081,0.960,0.385,0.982,3.700
24.506,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0115,0.5021,0.4999,0.3885,0.7085,0.8080,0.979,0.369,0.981,3.700
24.606,left hover,0.5000,0.5000,0.4000,-0.0016,0.0006,0.0105,0.5016,0.4994,0.3895,0.7078,0.8079,0.985,0.395,0.978,3.700
24.706,left hover,0.5000,0.5000,0.4000,-0.0021,-0.0000,0.0111,0.5021,0.5000,0.3889,0.7086,0.8083,0.971,0.378,0.980,3.700
24.805,left hover,0.5000,0.5000,0.4000,-0.0017,0.0005,0.0106,0.5017,0.4995,0.3894,0.7079,0.8080,0.990,0.394,0.979,3.700
24.906,left hover,0.5000,0.5000,0.4000,-0.0017,0.0000,0.0110,0.5017,0.5000,0.3890,0.7083,0.8081,0.981,0.381,0.978,3.700
25.005,left hover,0.5000,0.5000,0.4000,-0.0017,-0.0000,0.0105,0.5017,0.5000,0.3895,0.7083,0.8084,0.993,0.378,0.980,3.700
25.105,left hover,0.5000,0.5000,0.4000,-0.0017,0.0003,0.0103,0.5017,0.4997,0.3897,0.7081,0.8083,0.991,0.378,0.980,3.700
25.205,left hover,0.5000,0.5000,0.4000,-0.0021,0.0000,0.0110,0.5021,0.5000,0.3890,0.7086,0.8083,0.980,0.380,0.983,3.700
25.306,left hover,0.5000,0.5000,0.4000,-0.0021,0.0000,0.0106,0.5021,0.5000,0.3894,0.7086,0.8085,0.993,0.397,0.985,3.700
25.405,left hover,0.5000,0.5000,0.4000,-0.0021,0.0000,0.0104,0.5021,0.5000,0.3896,0.7085,0.8086,0.993,0.388,0.983,3.700
25.506,left hover,0.5000,0.5000,0.4000,-0.0021,0.0001,0.0105,0.5021,0.4999,0.3895,0.7085,0.8086,0.988,0.375,0.984,3.700
25.606,left hover,0.5000,0.5000,0.4000,-0.0021,0.0002,0.0113,0.5021,0.4998,0.3887,0.7085,0.8081,0.984,0.374,0.986,3.700
25.705,left hover,0.5000,0.5000,0.4000,-0.0021,0.0007,0.0124,0.5021,0.4993,0.3876,0.7081,0.8073,0.986,0.377,0.989,3.700
25.806,left hover,0.5000,0.5000,0.4000,-0.0022,0.0005,0.0111,0.5022,0.4995,0.3889,0.7082,0.8080,0.969,0.381,0.992,3.700
25.906,left hover,0.5000,0.5000,0.4000,-0.0022,0.0007,0.0102,0.5022,0.4993,0.3898,0.7082,0.8084,0.976,0.387,0.992,3.700
26.007,left hover,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0106,0.5016,0.4998,0.3894,0.7081,0.8081,0.970,0.392,0.993,3.700
26.105,left hover,0.5000,0.5000,0.4000,-0.0022,0.0007,0.0103,0.5022,0.4993,0.3897,0.7082,0.8083,0.981,0.369,0.996,3.700
26.206,left hover,0.5000,0.5000,0.4000,-0.0022,0.0008,0.0089,0.5022,0.4992,0.3911,0.7081,0.8089,0.966,0.389,0.995,3.700
26.306,left hover,0.5000,0.5000,0.4000,-0.0022,0.0007,0.0096,0.5022,0.4993,0.3904,0.7081,0.8086,0.971,0.380,0.999,3.700
26.405,left hover,0.5000,0.5000,0.4000,-0.0017,0.0005,0.0107,0.5017,0.4995,0.3893,0.7079,0.8079,0.971,0.373,0.999,3.700
26.505,left hover,0.5000,0.5000,0.4000,-0.0022,0.0006,0.0105,0.5022,0.4994,0.3895,0.7083,0.8083,0.983,0.363,0.999,3.700
26.606,left hover,0.5000,0.5000,0.4000,-0.0022,0.0001,0.0107,0.5022,0.4999,0.3893,0.7086,0.8084,0.979,0.378,0.999,3.700
26.705,left hover,0.5000,0.5000,0.4000,-0.0022,0.0001,0.0116,0.5022,0.4999,0.3884,0.7086,0.8081,0.986,0.367,0.999,3.695
26.805,left hover,0.5000,0.5000,0.4000,-0.0018,-0.0000,0.0110,0.5018,0.5000,0.3890,0.7084,0.8082,0.991,0.380,1.001,3.695
26.905,left hover,0.5000,0.5000,0.4000,-0.0023,0.0005,0.0113,0.5023,0.4995,0.3887,0.7084,0.8080,0.993,0.374,1.000,3.700
27.005,left hover,0.5000,0.5000,0.4000,-0.0023,-0.0000,0.0099,0.5023,0.5000,0.3901,0.7087,0.8090,0.977,0.383,1.003,3.700
27.104,left hover,0.5000,0.5000,0.4000,-0.0023,0.0001,0.0098,0.5023,0.4999,0.3902,0.7087,0.8090,0.998,0.383,1.002,3.700
27.205,left hover,0.5000,0.5000,0.4000,-0.0023,-0.0000,0.0098,0.5023,0.5000,0.3902,0.7088,0.8091,0.989,0.382,0.999,3.695
27.304,left hover,0.5000,0.5000,0.4000,-0.0023,-0.0000,0.0104,0.5023,0.5000,0.3896,0.7087,0.8088,0.995,0.386,1.001,3.700
27.405,left hover,0.5000,0.5000,0.4000,-0.0023,0.0001,0.0109,0.5023,0.4999,0.3891,0.7087,0.8085,0.996,0.385,1.002,3.695
27.505,left hover,0.5000,0.5000,0.4000,-0.0024,0.0009,0.0100,0.5024,0.4991,0.3900,0.7082,0.8085,0.993,0.383,1.002,3.700
27.605,left hover,0.5000,0.5000,0.4000,-0.0018,0.0001,0.0108,0.5018,0.4999,0.3892,0.7083,0.8082,0.971,0.385,1.004,3.700
27.705,left hover,0.5000,0.5000,0.4000,-0.0023,0.0000,0.0104,0.5023,0.5000,0.3896,0.7087,0.8087,1.002,0.372,1.010,3.695
